   13  501 1051  118 BENZENE ACETONE Mueller E., Stage H. (1961) Dargestellt am Beispiel des Siedeverhaltens von Fettsäuren, 1-117, 1961 
  345.15   .10133   .66500   .59000
  345.45   .10133   .71000   .60500
  345.95   .10133   .75000   .63250
  346.35   .10133   .78000   .65000
  346.80   .10133   .80500   .67000
  348.30   .10133   .82000   .69500
  348.05   .10133   .85000   .72500
  348.45   .10133   .86500   .74000
  348.95   .10133   .88000   .75500
  349.85   .10133   .90500   .79000
  350.75   .10133   .92500   .82900
  351.15   .10133   .94250   .85100
  351.75   .10133   .94500   .88000
  353.95   .10133  1.00000  1.00000
   25   17 1821  217 HEPTANE THIOPHENE KUDRYAVTSEVA L.,VIIT H.,EIZEN O., EESTI NSV TEAD.AKAD.TOIM.,KEEM.GEOL.20,292(1971).
  328.15   .03761   .00000   .00000
  328.15   .03798   .01000   .01900
  328.15   .03830   .02000   .03700
  328.15   .03876   .04000   .06500
  328.15   .03920   .06800   .09400
  328.15   .03936   .09000   .10900
  328.15   .03945   .12000   .13000
  328.15   .03940   .20000   .17700
  328.15   .03929   .22900   .19100
  328.15   .03893   .28000   .22000
  328.15   .03848   .32900   .25100
  328.15   .03814   .36000   .27100
  328.15   .03744   .42000   .31000
  328.15   .03662   .48400   .35000
  328.15   .03545   .56000   .40200
  328.15   .03420   .63000   .45400
  328.15   .03269   .70000   .51700
  328.15   .03166   .74000   .56100
  328.15   .03024   .79400   .62300
  328.15   .02982   .81000   .64300
  328.15   .02752   .89000   .75500
  328.15   .02572   .94100   .84900
  328.15   .02408   .98000   .93900
  328.15   .02357   .99000   .97000
  328.15   .02309  1.00000  1.00000
   17   17 1053  138 HEPTANE 3-PENTANONE GEISELER G.,KOEHLER H., BER.BUNSENGES.PHYS.CHEM.72,697(1968).
  353.15   .04974   .00000   .00000
  353.15   .05140   .02000   .04700
  353.15   .05386   .05100   .11100
  353.15   .05694   .09800   .19600
  353.15   .06022   .16400   .28900
  353.15   .06326   .25100   .38100
  353.15   .06518   .33400   .45100
  353.15   .06631   .41700   .50300
  353.15   .06690   .58400   .59700
  353.15   .06683   .62600   .62100
  353.15   .06661   .67300   .64600
  353.15   .06619   .72600   .68000
  353.15   .06511   .79800   .73000
  353.15   .06259   .89500   .82400
  353.15   .06049   .94400   .89300
  353.15   .05933   .96500   .92800
  353.15   .05698  1.00000  1.00000
   19   17 1052  133 HEPTANE 2-BUTANONE STEINHAUSER H.H.,WHITE R.R., IND.ENG.CHEM.41,2912(1949).
  352.60   .10133   .00000   .00000
  352.20   .10133   .00600   .01300
  351.85   .10133   .02700   .04600
  351.25   .10133   .06800   .09200
  350.40   .10133   .13600   .16800
  350.15   .10133   .23500   .23150
  350.30   .10133   .29400   .26400
  350.15   .10133   .30700   .27300
  350.60   .10133   .38850   .30900
  351.35   .10133   .49300   .35500
  351.50   .10133   .52500   .36800
  353.20   .10133   .63100   .42200
  353.10   .10133   .64600   .42800
  355.40   .10133   .77000   .50500
  359.55   .10133   .87800   .62450
  362.55   .10133   .92600   .71500
  366.85   .10133   .97300   .85900
  369.25   .10133   .99670   .94000
  371.45   .10133  1.00000  1.00000
   14   56 1051  124 DECANE ACETONE MESSOW U.,DOYE U.,KUNTZSCH S.,KUCHENBECKER D., Z.PHYS.CHEM.(LEIPZIG) 258,90(1977).
  333.15   .11518   .00000   .00000
  333.15   .10021   .26780   .00750
  333.15   .09897   .30550   .00750
  333.15   .09439   .40650   .00750
  333.15   .09173   .46960   .00900
  333.15   .09086   .48840   .00850
  333.15   .08950   .51450   .00950
  333.15   .08719   .55200   .01080
  333.15   .08706   .55450   .01020
  333.15   .08339   .60700   .01220
  333.15   .07766   .66500   .01480
  333.15   .07079   .70400   .01700
  333.15   .06893   .71150   .01730
  333.15   .00152  1.00000  1.00000
   11 1501 1889   98 TETRACHLOROMETHANE FURFURAL WINGARD R.E.,DURANT W.S.,TUBBS H.E.,BROWN W.O., IND.ENG.CHEM.47,1757(1955).
  434.85   .10133   .00000   .00000
  397.65   .10133   .06500   .70300
  373.15   .10133   .15600   .89200
