1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
94	158.25	0.000027774	590	2388300	0.800000012	5	68.863	-7247.1	-6.6268	9.1537E-18	6	3.299999952	317	3-ETHYLHEPTANE
96	160.1499939	0.00015298	576.7000122	2352300	0.400000006	5	70.767	-7072.1	-6.9725	1.3412E-17	6	2	311	HEPTANE, 2,2-DIMETHYL-
100	215.1499939	0.0016651	655	1869700	0.300000012	5	84.867	-9634.7	-8.6541	5.096E-18	6	1.5	375	UNDECANE, 3-METHYL-
101	145.5899963	77.96	398	5494000	1.100000024	5	40.608	-3179.6	-2.8937	5.6131E-17	6	11.30000019	306	CYCLOPROPANE
102	182.4799957	180.1	459.9299927	4991400	0.300000012	5	85.899	-4884.4	-10.883	0.014934	1	2.099999905	254	CYCLOBUTANE
104	179.2799988	9.0722	511.7000122	4512700	0.699999988	5	66.341	-5198.5	-6.8103	0.000006193	2	4.900000095	234	CYCLOPENTANE
105	130.7299957	0.00022453	532.7000122	3759400	0.699999988	5	55.368	-5149.8	-5.0136	0.000003222	2	2.299999952	458	CYCLOPENTANE, METHYL-
107	134.7100067	3.7144E-06	569.5	3412300	0.300000012	5	88.671	-7012.7	-10.045	7.4578E-06	2	1.5	433	CYCLOPENTANE, ETHYL-
108	203.3600006	9.0491	547	3457800	0.600000024	5	138.89	-7863.6	-19.294	0.022267	1	9.699999809	233	CYCLOPENTANE, 1,1-DIMETHYL-
109	219.2599945	24.104	565.1500244	3446300	0.100000001	5	88.62	-6913.5	-10.07	7.7658E-06	2	0.200000003	269	CYCLOPENTANE, 1,2-DIMETHYL-, cis-
110	155.5800018	0.003296	553.1500244	3446300	0.100000001	5	89.653	-6800.9	-10.275	8.4574E-06	2	0.300000012	264	CYCLOPENTANE, 1,2-DIMETHYL-, trans-
111	139.4499969	0.0001727	551	3450500	1.299999952	5	86.463	-6282.8	-10.444	0.010732	1	2.400000095	299	CYCLOPENTANE, 1,3-DIMETHYL-, cis-
112	139.1799927	0.000043776	553	3440000	0.100000001	5	127.37	-7626.3	-17.277	0.019136	1	0.300000012	275	CYCLOPENTANE, 1,3-DIMETHYL-, trans-
114	155.8099976	0.000045887	596	3022000	0.100000001	5	94.21	-7805.7	-10.75	7.0473E-06	2	0.300000012	294	CYCLOPENTANE, PROPYL-
115	161.7899933	0.00098187	593	3032800	0.699999988	5	58.369	-6286.2	-5.1985	8.0512E-18	6	6.300000191	230	CYCLOPENTANE,(1-METHYLETHYL)-
116	129.3500061	2.1671E-07	582	3016400	0.300000012	5	63.288	-6435.9	-5.9387	1.2824E-17	6	1.799999952	176	CYCLOPENTANE, 1-ETHYL-1-METHYL-
122	165.1799927	0.000037009	621	2704800	1.200000048	5	71.73	-7618	-7.0129	7.8485E-18	6	6.5	266	CYCLOPENTANE, 1-BUTYL-
137	279.6900024	5362.5	553.7999878	4093500	0.200000003	5	51.087	-5226.4	-4.2278	9.7554E-18	6	1.200000048	282	CYCLOHEXANE
138	146.5800018	0.00015225	572.0999756	3486200	0.600000024	5	92.684	-7080.8	-10.695	8.1366E-06	2	5.400000095	260	CYCLOHEXANE, METHYL-
140	161.8399963	0.00035747	609.1500244	3041100	0.100000001	5	80.208	-7203.2	-8.6023	4.5901E-06	2	0.300000012	433	CYCLOHEXANE, ETHYL-
141	239.6600037	60.584	591.1500244	2938700	0.100000001	5	81.184	-6927	-8.8498	0.000005458	2	0.200000003	283	CYCLOHEXANE, 1,1-DIMETHYL-
142	223.1600037	6.4139	606.1500244	2939400	0.100000001	5	78.952	-7075.4	-8.4344	4.5035E-06	2	0.400000006	292	CYCLOHEXANE, 1,2-DIMETHYL-, cis-
143	184.9900055	0.080387	596.1500244	2937700	0.100000001	5	78.429	-6882.1	-8.4129	4.9831E-06	2	0.300000012	286	CYCLOHEXANE, 1,2-DIMETHYL-, trans-
144	197.5800018	0.56275	591.1500244	2939100	0.100000001	5	79.675	-6923.1	-8.5896	5.0057E-06	2	0.400000006	284	CYCLOHEXANE, 1,3-DIMETHYL-, cis-
145	183.0500031	0.042215	598	2939000	0.100000001	5	79.585	-7034.3	-8.5372	0.000004628	2	1.399999976	314	CYCLOHEXANE, 1,3-DIMETHYL-, trans-
146	185.7200012	0.07042	598.1500244	2940200	0.100000001	5	78.38	-6966	-8.3613	4.5299E-06	2	0.300000012	288	CYCLOHEXANE, 1,4-DIMETHYL-, cis-
147	236.2100067	44.98	587.7000122	2939200	0.100000001	5	81.51	-6927.5	-8.9113	5.7659E-06	2	0.200000003	420	CYCLOHEXANE, 1,4-DIMETHYL-, trans-
148	188.75	0.023919	602.2000122	2851000	2.099999905	5	153.2	-9931.1	-20.025	0.000017445	2	19.60000038	299	CYCLOHEXANE, 1,3,5-TRIMETHYL-, trans
149	178.25	0.00085908	639.1500244	2809000	0.100000001	5	82.454	-7845	-8.8018	3.7436E-06	2	0.400000006	313	CYCLOHEXANE, PROPYL-
