24227 TRCID	CASRN	Nist-Kt
651	109784	1 2 1 34 1 86
652	109795	1 1 2 2 1 139
653	109808	1 2 2 139
654	109819	1 2 1 67 1 71
655	109831	2 2 1 34 1 71
656	109842	1 2 1 34 1 70 1 72
657	109853	1 2 1 59 1 67
658	109864	1 1 1 39
659	109875	1 2 2 59
660	109897	2 1 1 2 1 72
661	109922	1 1 1 5 1 60
662	109944	1 1 1 2 1 55
663	109966	2 27 1 30 1 83
664	109977	2 30 1 83
665	109999	3 27 1 63
666	110009	2 30 1 64
667	110010	3 27 1 143
668	110021	1 147
669	110032	4 1 2 2 2 4 2 205
670	110054	6 1 2 62
671	110065	6 1 2 145
672	110123	2 1 2 2 1 3 1 42
673	110134	2 2 2 42
674	110145	2 2 2 169
675	110156	2 2 2 94
676	110167	1 6 2 94
677	110178	1 6 2 94
678	110189	2 1 2 2 2 74
679	110190	2 1 1 2 1 3 1 51
680	110214	2 180
681	110270	3 1 11 2 1 3 1 52
682	110338	2 1 12 2 2 52
683	110349	3 1 14 2 1 3 1 52
684	110361	2 1 14 2 1 52
685	110383	2 1 8 2 1 52
686	110394	2 1 8 2 1 52
687	110407	2 1 8 2 2 52
688	110429	2 1 7 2 1 52
689	110430	1 1 4 2 1 42
690	110441	1 1 2 6 1 94
691	110452	2 1 2 2 1 3 1 55
692	110463	2 1 2 2 1 3 1 193
693	110496	2 2 1 51 1 59
694	110521	4 2 2 130
695	110532	1 1 4 2 1 130
696	110543	2 1 4 2
697	110565	2 2 2 99
698	110576	1 6 2 99
699	110587	1 1 3 2 1 67
700	110598	1 1 2 2 1 86
701	110601	2 2 2 67
702	110612	2 86
703	110623	1 1 3 2 1 48
704	110634	4 2 2 34
705	110678	1 2 1 59 1 86
706	110689	1 1 3 2 1 71
707	110714	2 2 2 59
708	110736	1 1 2 2 1 34 1 72
709	110747	1 1 2 2 1 55
710	110758	1 5 1 60 1 99
711	110769	1 1 1 2 1 60 1 67
712	110770	1 1 2 2 1 34 1 143
713	110805	1 1 1 2 1 39
714	110816	2 1 2 143
715	110827	6 27
716	110838	4 27 1 30
717	110850	4 27 2 83
718	110861	1 76
719	110883	3 63
720	110918	1 196
721	110930	2 1 2 2 1 8 1 42
722	110941	3 2 2 94
723	110952	2 1 3 2 2 74
724	110963	4 1 1 2 2 3 1 72
725	110974	2 1 1 2 2 3 1 72 2 204
726	110985	2 1 1 2 1 3 1 41 1 204
727	110996	1 2 1 60 2 94
728	111013	8 1 16 2 6 3
729	111068	2 1 16 2 1 52
730	111115	2 1 5 2 1 52
731	111137	1 1 5 2 1 42
732	111148	1 1 5 2 1 94
733	111159	1 1 2 2 1 51 1 60
734	111160	5 2 2 94
735	111182	2 1 6 2 2 74
736	111206	8 2 2 94
737	111217	4 2 2 51 2 60
738	111228	4 2 2 60 2 194
739	111240	5 2 2 130
740	111251	1 1 5 2 1 130
741	111262	1 1 4 2 1 67
742	111273	1 1 5 2 1 34
743	111295	5 2 2 34
744	111319	1 1 4 2 1 139
745	111320	4 2 1 34 1 59
746	111342	1 1 2 2 1 5 1 60
747	111353	1 1 3 2 1 34 1 60
748	111364	1 1 3 2 1 178
749	111400	1 2 2 67 1 72
750	111411	2 2 1 34 1 67 1 72
751	111422	3 2 2 34 1 72
752	111433	2 1 3 2 1 60
753	111477	2 1 3 2 1 143
754	111488	3 2 2 34 1 143
755	111499	6 27 1 83
756	1115088	1 1 1 3 2 5
757	111513	2 1 4 2 2 74
758	111535	2 1 2 2 1 14 2 74
759	111557	2 2 2 51
760	111615	2 1 16 2 1 52
761	1116241	3 1 2 2 1 165
762	111626	2 1 14 2 1 6 1 52
763	1116401	6 1 2 2 3 3 1 75
764	111648	1 1 5 2 1 43 1 110
765	111659	2 1 6 2
766	111660	1 1 5 2 1 5
767	1116763	3 1 20 2 1 75
768	111682	1 1 5 2 1 67
769	111693	2 2 2 86
770	111706	1 1 6 2 1 34
771	111717	1 1 5 2 1 48
772	1117197	2 1 4 2 1 52 1 58
773	1117313	1 1 2 2 1 3 2 51
774	1117551	2 1 10 2 1 52
775	1117595	2 1 7 2 1 52
776	111762	1 1 3 2 1 39
777	111773	2 2 1 39 1 59
778	1117799	2 1 5 2 1 100
